,Condition,EnemyHitPlayer,EnemyType,Score,Success,TotalTime
0,1,0,A6,-1.5833333333333326,1,1.5168159008026123
1,1,0,A6,15.700000000000124,1,2.607051134109497
2,1,0,A3,33.93333333333356,1,1.6909980773925781
3,1,0,A5,51.916666666667005,1,1.9324419498443604
4,1,0,A5,70.26666666666709,1,1.578279972076416
5,1,0,A3,-2.28333333333333,1,2.1931090354919434
6,1,0,A2,16.100000000000094,1,1.5434861183166504
7,1,0,A4,34.416666666666856,1,1.6050710678100586
8,1,0,A2,53.40000000000025,1,0.9638669490814209
9,1,0,A3,72.10000000000032,1,1.238955020904541
10,1,0,B6,-0.9166666666666679,1,0.8737609386444092
11,1,0,B3,15.983333333333507,1,2.970338821411133
12,1,1,B4,32.166666666667055,0,3.674316167831421
13,1,0,B5,10.950000000000328,1,1.156510829925537
14,1,0,B2,29.016666666667106,1,1.8527989387512207
15,1,0,B2,-2.0999999999999974,1,2.0204880237579346
16,1,0,B4,17.150000000000045,1,0.7091479301452637
17,1,0,B2,35.58333333333347,1,1.4962658882141113
